Date,Open,High,Low,Close,Volume,Adj Close
2016-04-01,10.91,10.91,10.91,10.91,000,10.69671
2016-03-31,10.90,10.90,10.90,10.90,000,10.686905
2016-03-30,10.88,10.88,10.88,10.88,000,10.645727
2016-03-29,10.89,10.89,10.89,10.89,000,10.655512
2016-03-28,10.84,10.84,10.84,10.84,000,10.606588
2016-03-24,10.84,10.84,10.84,10.84,000,10.606588
2016-03-23,10.85,10.85,10.85,10.85,000,10.616373
2016-03-22,10.81,10.81,10.81,10.81,000,10.577234
2016-03-21,10.82,10.82,10.82,10.82,000,10.587018
2016-03-18,10.84,10.84,10.84,10.84,000,10.606588
2016-03-17,10.82,10.82,10.82,10.82,000,10.587018
2016-03-16,10.81,10.81,10.81,10.81,000,10.577234
2016-03-15,10.77,10.77,10.77,10.77,000,10.538096
2016-03-14,10.77,10.77,10.77,10.77,000,10.538096
2016-03-11,10.76,10.76,10.76,10.76,000,10.528311
2016-03-10,10.77,10.77,10.77,10.77,000,10.538096
2016-03-09,10.79,10.79,10.79,10.79,000,10.557665
2016-03-08,10.81,10.81,10.81,10.81,000,10.577234
2016-03-07,10.77,10.77,10.77,10.77,000,10.538096
2016-03-04,10.78,10.78,10.78,10.78,000,10.54788
2016-03-03,10.80,10.80,10.80,10.80,000,10.567449
2016-03-02,10.78,10.78,10.78,10.78,000,10.54788
2016-03-01,10.78,10.78,10.78,10.78,000,10.54788
2016-02-29,10.82,10.82,10.82,10.82,000,10.587018
2016-02-26,10.81,10.81,10.81,10.81,000,10.556686
2016-02-25,10.84,10.84,10.84,10.84,000,10.585983
2016-02-24,10.82,10.82,10.82,10.82,000,10.566451
2016-02-23,10.82,10.82,10.82,10.82,000,10.566451
2016-02-22,10.81,10.81,10.81,10.81,000,10.556686
2016-02-19,10.81,10.81,10.81,10.81,000,10.556686
2016-02-18,10.81,10.81,10.81,10.81,000,10.556686
2016-02-17,10.78,10.78,10.78,10.78,000,10.527388
2016-02-16,10.79,10.79,10.79,10.79,000,10.537154
2016-02-12,10.81,10.81,10.81,10.81,000,10.556686
2016-02-11,10.86,10.86,10.86,10.86,000,10.605514
2016-02-10,10.85,10.85,10.85,10.85,000,10.595749
2016-02-09,10.83,10.83,10.83,10.83,000,10.576217
2016-02-08,10.84,10.84,10.84,10.84,000,10.585983
2016-02-05,10.79,10.79,10.79,10.79,000,10.537154
2016-02-04,10.79,10.79,10.79,10.79,000,10.537154
2016-02-03,10.78,10.78,10.78,10.78,000,10.527388
2016-02-02,10.80,10.80,10.80,10.80,000,10.54692
2016-02-01,10.75,10.75,10.75,10.75,000,10.498092
2016-01-29,10.77,10.77,10.77,10.77,000,10.517624
2016-01-28,10.74,10.74,10.74,10.74,000,10.466842
2016-01-27,10.73,10.73,10.73,10.73,000,10.457096
2016-01-26,10.73,10.73,10.73,10.73,000,10.457096
2016-01-25,10.73,10.73,10.73,10.73,000,10.457096
2016-01-22,10.72,10.72,10.72,10.72,000,10.447351
2016-01-21,10.73,10.73,10.73,10.73,000,10.457096
2016-01-20,10.74,10.74,10.74,10.74,000,10.466842
2016-01-19,10.73,10.73,10.73,10.73,000,10.457096
2016-01-15,10.74,10.74,10.74,10.74,000,10.466842
2016-01-14,10.72,10.72,10.72,10.72,000,10.447351
2016-01-13,10.74,10.74,10.74,10.74,000,10.466842
2016-01-12,10.72,10.72,10.72,10.72,000,10.447351
2016-01-11,10.69,10.69,10.69,10.69,000,10.418113
2016-01-08,10.72,10.72,10.72,10.72,000,10.447351
2016-01-07,10.70,10.70,10.70,10.70,000,10.427859
2016-01-06,10.69,10.69,10.69,10.69,000,10.418113
2016-01-05,10.65,10.65,10.65,10.65,000,10.379131
2016-01-04,10.66,10.66,10.66,10.66,000,10.388876
2015-12-31,10.64,10.64,10.64,10.64,000,10.369386
2015-12-30,10.62,10.62,10.62,10.62,000,10.328453
2015-12-29,10.62,10.62,10.62,10.62,000,10.328453
2015-12-28,10.66,10.66,10.66,10.66,000,10.367355
2015-12-24,10.66,10.66,10.66,10.66,000,10.367355
2015-12-23,10.65,10.65,10.65,10.65,000,10.35763
2015-12-22,10.66,10.66,10.66,10.66,000,10.367355
2015-12-21,10.69,10.69,10.69,10.69,000,10.389723
2015-12-18,10.69,10.69,10.69,10.69,000,10.389723
2015-12-17,10.68,10.68,10.68,10.68,000,10.380005
2015-12-16,10.65,10.65,10.65,10.65,000,10.350847
2015-12-15,10.66,10.66,10.66,10.66,000,10.360566
2015-12-14,10.69,10.69,10.69,10.69,000,10.389723
2015-12-11,10.74,10.74,10.74,10.74,000,10.438319
2015-12-10,10.70,10.70,10.70,10.70,000,10.399443
2015-12-09,10.71,10.71,10.71,10.71,000,10.409162
2015-12-08,10.71,10.71,10.71,10.71,000,10.409162
2015-12-07,10.71,10.71,10.71,10.71,000,10.409162
2015-12-04,10.69,10.69,10.69,10.69,000,10.389723
2015-12-03,10.67,10.67,10.67,10.67,000,10.370285
2015-12-02,10.74,10.74,10.74,10.74,000,10.438319
2015-12-01,10.75,10.75,10.75,10.75,000,10.448038
2015-11-30,10.71,10.71,10.71,10.71,000,10.409162
2015-11-27,10.71,10.71,10.71,10.71,000,10.388752
2015-11-25,10.70,10.70,10.70,10.70,000,10.379052
2015-11-24,10.70,10.70,10.70,10.70,000,10.379052
2015-11-23,10.70,10.70,10.70,10.70,000,10.379052
2015-11-20,10.70,10.70,10.70,10.70,000,10.379052
2015-11-19,10.71,10.71,10.71,10.71,000,10.388752
2015-11-18,10.69,10.69,10.69,10.69,000,10.369352
2015-11-17,10.69,10.69,10.69,10.69,000,10.369352
2015-11-16,10.69,10.69,10.69,10.69,000,10.369352
2015-11-13,10.69,10.69,10.69,10.69,000,10.369352
2015-11-12,10.67,10.67,10.67,10.67,000,10.349952
2015-11-11,10.66,10.66,10.66,10.66,000,10.340252
2015-11-10,10.67,10.67,10.67,10.67,000,10.349952
2015-11-09,10.66,10.66,10.66,10.66,000,10.340252
2015-11-06,10.67,10.67,10.67,10.67,000,10.349952
2015-11-05,10.72,10.72,10.72,10.72,000,10.398452
2015-11-04,10.72,10.72,10.72,10.72,000,10.398452
2015-11-03,10.73,10.73,10.73,10.73,000,10.408152
2015-11-02,10.75,10.75,10.75,10.75,000,10.427552
2015-10-30,10.76,10.76,10.76,10.76,000,10.437252
2015-10-29,10.75,10.75,10.75,10.75,000,10.407182
2015-10-28,10.79,10.79,10.79,10.79,000,10.445906
2015-10-27,10.82,10.82,10.82,10.82,000,10.47495
2015-10-26,10.81,10.81,10.81,10.81,000,10.465269
2015-10-23,10.80,10.80,10.80,10.80,000,10.455588
2015-10-22,10.82,10.82,10.82,10.82,000,10.47495
2015-10-21,10.81,10.81,10.81,10.81,000,10.465269
2015-10-20,10.79,10.79,10.79,10.79,000,10.445906
2015-10-19,10.81,10.81,10.81,10.81,000,10.465269
2015-10-16,10.81,10.81,10.81,10.81,000,10.465269
2015-10-15,10.82,10.82,10.82,10.82,000,10.47495
2015-10-14,10.84,10.84,10.84,10.84,000,10.494312
2015-10-13,10.80,10.80,10.80,10.80,000,10.455588
2015-10-12,10.80,10.80,10.80,10.80,000,10.455588
2015-10-09,10.77,10.77,10.77,10.77,000,10.426545
2015-10-08,10.77,10.77,10.77,10.77,000,10.426545
2015-10-07,10.79,10.79,10.79,10.79,000,10.445906
2015-10-06,10.80,10.80,10.80,10.80,000,10.455588
2015-10-05,10.79,10.79,10.79,10.79,000,10.445906
2015-10-02,10.82,10.82,10.82,10.82,000,10.47495
2015-10-01,10.79,10.79,10.79,10.79,000,10.445906
2015-09-30,10.78,10.78,10.78,10.78,000,10.436225
2015-09-29,10.79,10.79,10.79,10.79,000,10.425576
2015-09-28,10.78,10.78,10.78,10.78,000,10.415914
